outPkts,inPkts,outByts,inByts,outData,outDataByts,inData,inDataByts,outPkts/s,inPkts/s,outByts/s,inByts/s,byts/s,pkts/s,outPktLenMax,outPktLenMin,outPktLenMean,inPktLenMax,inPktLenMin,inPktLenMean,FIN,SYN,RST,PSH,ACK,URG,CWR,ECE
1,1,52,52,0,0,0,0,87.57,87.57,4553.7,4553.7,9107.4,175.14,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
3,2,156,104,0,0,0,0,1.01,0.67,52.52,35.01,87.53,1.6800000000000002,52,52,52.0,52,52,52.0,1,0,0,0,1,0,0,0
4,3,208,156,0,0,0,0,1.38,1.04,71.89,53.92,125.81,2.42,52,52,52.0,52,52,52.0,1,0,0,0,1,0,0,0
4,3,232,156,1,19,0,0,1.56,1.17,90.57,60.9,151.47,2.73,76,76,58.0,52,52,52.0,1,0,0,1,1,0,0,0
4,3,232,156,1,19,0,0,1.76,1.32,101.89,68.51,170.4,3.08,76,76,58.0,52,52,52.0,1,0,0,1,1,0,0,0
14,10,2699,943,6,2001,5,422,13.01,9.3,2508.91,876.59,3385.5,22.310000000000002,863,863,192.78571428571428,366,366,94.3,1,0,1,1,1,0,0,0
9,8,462,609,1,30,3,78,4.25,3.78,218.42,287.91,506.33000000000004,8.03,87,87,51.333333333333336,114,114,76.125,1,0,1,1,1,0,0,0
3,2,156,104,0,0,0,0,7.27,4.85,378.12,252.08,630.2,12.12,52,52,52.0,52,52,52.0,1,0,0,0,1,0,0,0
5,5,299,263,2,53,1,34,20.44,20.44,1222.26,1075.1,2297.3599999999997,40.88,91,91,59.8,91,91,52.6,1,0,1,1,1,0,0,0
5,5,299,248,2,53,1,19,17.78,17.78,1063.44,882.05,1945.49,35.56,91,91,59.8,76,76,49.6,1,0,1,1,1,0,0,0
4,4,271,208,2,53,0,0,38.2,38.2,2587.85,1986.25,4574.1,76.4,91,91,67.75,52,52,52.0,1,0,0,1,1,0,0,0
6,7,351,355,2,53,1,34,22.94,26.77,1342.21,1357.51,2699.7200000000003,49.71,91,91,58.5,91,91,50.714285714285715,1,0,1,1,1,0,0,0
5,5,299,263,2,53,1,34,26.56,26.56,1588.27,1397.04,2985.31,53.12,91,91,59.8,91,91,52.6,1,0,1,1,1,0,0,0
7,8,335,485,0,0,0,0,2.75,3.14,131.46,190.32,321.78,5.890000000000001,83,83,47.857142857142854,83,83,60.625,1,0,1,1,1,0,0,0
7,8,335,485,0,0,0,0,2.79,3.19,133.55,193.34,326.89,5.98,83,83,47.857142857142854,83,83,60.625,1,0,1,1,1,0,0,0
2,1,104,52,0,0,0,0,36.24,18.12,1884.5,942.25,2826.75,54.36,52,52,52.0,52,52,52.0,1,0,0,0,1,0,0,0
8,9,375,537,0,0,0,0,4.67,5.25,218.73,313.22,531.95,9.92,83,83,46.875,83,83,59.666666666666664,1,0,1,1,1,0,0,0
8,9,375,537,0,0,0,0,4.71,5.3,220.75,316.12,536.87,10.01,83,83,46.875,83,83,59.666666666666664,1,0,1,1,1,0,0,0
8,9,375,537,0,0,0,0,4.67,5.25,218.75,313.25,532.0,9.92,83,83,46.875,83,83,59.666666666666664,1,0,1,1,1,0,0,0
8,9,375,537,0,0,0,0,4.9,5.52,229.84,329.13,558.97,10.42,83,83,46.875,83,83,59.666666666666664,1,0,1,1,1,0,0,0
2,1,104,52,0,0,0,0,93.15,46.58,4843.84,2421.92,7265.76,139.73000000000002,52,52,52.0,52,52,52.0,1,0,0,0,1,0,0,0
